wl,k
3.31E-01,1.81E+00
3.34E-01,1.79E+00
3.36E-01,1.78E+00
3.39E-01,1.77E+00
3.42E-01,1.76E+00
3.45E-01,1.75E+00
3.47E-01,1.74E+00
3.50E-01,1.74E+00
3.53E-01,1.73E+00
3.56E-01,1.73E+00
3.59E-01,1.73E+00
3.62E-01,1.73E+00
3.66E-01,1.73E+00
3.69E-01,1.73E+00
3.72E-01,1.74E+00
3.75E-01,1.74E+00
3.79E-01,1.74E+00
3.82E-01,1.75E+00
3.86E-01,1.75E+00
3.89E-01,1.75E+00
3.93E-01,1.76E+00
3.97E-01,1.76E+00
4.01E-01,1.77E+00
4.05E-01,1.77E+00
4.08E-01,1.78E+00
4.13E-01,1.78E+00
4.17E-01,1.78E+00
4.21E-01,1.79E+00
4.25E-01,1.79E+00
4.29E-01,1.80E+00
4.34E-01,1.80E+00
4.38E-01,1.77E+00
4.43E-01,1.66E+00
4.48E-01,1.60E+00
4.53E-01,1.56E+00
4.58E-01,1.53E+00
4.63E-01,1.50E+00
4.68E-01,1.47E+00
4.73E-01,1.45E+00
4.79E-01,1.44E+00
4.84E-01,1.77E+00
4.90E-01,1.51E+00
4.96E-01,1.33E+00
5.02E-01,1.17E+00
5.08E-01,1.02E+00
5.14E-01,8.66E-01
5.20E-01,7.31E-01
5.27E-01,7.21E-01
5.34E-01,7.10E-01
5.40E-01,6.99E-01
5.48E-01,6.87E-01
5.55E-01,6.75E-01
5.62E-01,6.62E-01
5.70E-01,6.48E-01
5.78E-01,6.34E-01
5.86E-01,6.19E-01
5.94E-01,6.04E-01
6.03E-01,5.88E-01
6.12E-01,5.72E-01
6.21E-01,5.55E-01
6.30E-01,5.38E-01
6.40E-01,5.21E-01
6.50E-01,5.03E-01
6.60E-01,4.85E-01
6.70E-01,4.67E-01
6.81E-01,4.48E-01
6.93E-01,4.29E-01
7.04E-01,4.10E-01
7.16E-01,3.91E-01
7.29E-01,3.72E-01
7.42E-01,3.53E-01
7.55E-01,3.34E-01
7.69E-01,3.14E-01
7.84E-01,2.96E-01
7.98E-01,2.77E-01
8.14E-01,2.59E-01
8.30E-01,2.41E-01
8.47E-01,2.25E-01
8.65E-01,2.08E-01
8.83E-01,1.93E-01
9.02E-01,1.79E-01
9.22E-01,1.66E-01
9.42E-01,1.55E-01
9.64E-01,1.46E-01
9.87E-01,1.39E-01
1.01E+00,1.34E-01
1.04E+00,1.32E-01
1.06E+00,1.31E-01
1.09E+00,1.30E-01
1.12E+00,1.28E-01
1.15E+00,1.24E-01
1.18E+00,1.17E-01
1.22E+00,1.09E-01
1.25E+00,1.08E-01
1.29E+00,1.07E-01
1.33E+00,1.05E-01
1.38E+00,1.02E-01
1.42E+00,9.80E-02
1.47E+00,9.17E-02
1.53E+00,8.23E-02
1.59E+00,6.70E-02
1.65E+00,3.08E-02
1.72E+00,1.61E-02
1.79E+00,1.54E-02
1.87E+00,1.48E-02
1.96E+00,1.41E-02
2.05E+00,1.34E-02
2.16E+00,1.27E-02
2.28E+00,1.20E-02
2.41E+00,1.14E-02
2.55E+00,1.07E-02
2.72E+00,1.00E-02
2.91E+00,9.36E-03
3.13E+00,8.69E-03
3.38E+00,8.03E-03
3.68E+00,7.37E-03
4.03E+00,6.72E-03
4.46E+00,6.06E-03
4.99E+00,5.41E-03
5.67E+00,4.76E-03
6.56E+00,4.11E-03
7.78E+00,3.46E-03
9.56E+00,2.82E-03
1.24E+01,2.17E-03
